10 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.496409 [3865 voxels],0.429561 [5681 voxels],0.398257 [5398 voxels],0.564121 [2257 voxels],0.42673 [2224 voxels],0.49644 [3910 voxels],0.435273 [3444 voxels],0.65424 [2406 voxels],0.536658 [2152 voxels],104,104,0.338837 [4171 voxels],0.333196 [4452 voxels],0.424337 [7753 voxels],0.395045 [7686 voxels],0.604209 [3274 voxels]
057,057,057,057,057,057,057,057,057,106,106,057,057,057,057,057
0.305329 [3865 voxels],0.989918 [5681 voxels],0.988327 [5398 voxels],0.99 [2257 voxels],0.99 [2224 voxels],0.99 [3910 voxels],0.989908 [3444 voxels],0.99 [2406 voxels],0.98932 [2152 voxels],107,107,0.65115 [4171 voxels],0.622178 [4452 voxels],0.52179 [7753 voxels],0.353206 [7686 voxels],0.528652 [3274 voxels]
058,058,058,058,058,058,058,058,058,108,108,058,058,058,058,058
0.455696 [3865 voxels],0.399108 [5681 voxels],0.427227 [5398 voxels],0.416754 [2257 voxels],0.358734 [2224 voxels],0.419952 [3910 voxels],0.404039 [3444 voxels],0.511631 [2406 voxels],0.523169 [2152 voxels],109,109,0.370873 [4171 voxels],0.333485 [4452 voxels],0.38025 [7753 voxels],0.374192 [7686 voxels],0.479453 [3274 voxels]
059,059,059,059,059,059,059,059,059,110,110,059,059,059,059,059
0.518924 [3865 voxels],0.498445 [5681 voxels],0.509403 [5398 voxels],0.531984 [2257 voxels],0.431631 [2224 voxels],0.576021 [3910 voxels],0.508833 [3444 voxels],0.616128 [2406 voxels],0.582977 [2152 voxels],111,111,0.320619 [4171 voxels],0.344127 [4452 voxels],0.401796 [7753 voxels],0.374853 [7686 voxels],0.62162 [3274 voxels]
060,060,060,060,060,060,060,060,060,112,112,060,060,060,060,060
0.512254 [3865 voxels],0.343701 [5681 voxels],0.338323 [5398 voxels],0.462804 [2257 voxels],0.400936 [2224 voxels],0.396813 [3910 voxels],0.403065 [3444 voxels],0.526755 [2406 voxels],0.520634 [2152 voxels],113,113,0.361406 [4171 voxels],0.453201 [4452 voxels],0.36227 [7753 voxels],0.405159 [7686 voxels],0.496894 [3274 voxels]
061,061,061,061,061,061,061,061,061,,,061,061,061,061,061
0.565544 [3865 voxels],0.374839 [5681 voxels],0.363967 [5398 voxels],0.4792 [2257 voxels],0.402499 [2224 voxels],0.503852 [3910 voxels],0.445413 [3444 voxels],0.556969 [2406 voxels],0.507024 [2152 voxels],,,0.419852 [4171 voxels],0.409438 [4452 voxels],0.480152 [7753 voxels],0.489844 [7686 voxels],0.664009 [3274 voxels]
062,062,062,062,062,062,062,062,062,,,062,062,062,062,062
0.639167 [3865 voxels],0.509345 [5681 voxels],0.468891 [5398 voxels],0.540749 [2257 voxels],0.417953 [2224 voxels],0.517499 [3910 voxels],0.475881 [3444 voxels],0.734032 [2406 voxels],0.64622 [2152 voxels],,,0.36959 [4171 voxels],0.364316 [4452 voxels],0.422224 [7753 voxels],0.424036 [7686 voxels],0.534572 [3274 voxels]
065,065,065,065,065,065,065,065,065,,,065,065,065,065,065
0.474684 [3865 voxels],0.501707 [5681 voxels],0.485205 [5398 voxels],0.479112 [2257 voxels],0.426028 [2224 voxels],0.517874 [3910 voxels],0.467287 [3444 voxels],0.576532 [2406 voxels],0.5606 [2152 voxels],,,0.401226 [4171 voxels],0.417521 [4452 voxels],0.384039 [7753 voxels],0.3644 [7686 voxels],0.554853 [3274 voxels]
066,066,066,066,066,066,066,066,066,,,066,066,066,066,066
0.445594 [3865 voxels],0.49049 [5681 voxels],0.530078 [5398 voxels],0.524879 [2257 voxels],0.429631 [2224 voxels],0.489912 [3910 voxels],0.456996 [3444 voxels],0.65496 [2406 voxels],0.585602 [2152 voxels],,,0.369802 [4171 voxels],0.382086 [4452 voxels],0.399925 [7753 voxels],0.457827 [7686 voxels],0.519747 [3274 voxels]
068,068,068,068,068,068,068,068,068,,,068,068,068,068,068
0.4466 [3865 voxels],0.471103 [5681 voxels],0.424235 [5398 voxels],0.522645 [2257 voxels],0.407267 [2224 voxels],0.603296 [3910 voxels],0.441865 [3444 voxels],0.46632 [2406 voxels],0.49354 [2152 voxels],,,0.364432 [4171 voxels],0.364708 [4452 voxels],0.38192 [7753 voxels],0.425913 [7686 voxels],0.588282 [3274 voxels]
069,069,069,069,069,069,069,069,069,,,069,069,069,069,069
0.519101 [3865 voxels],0.405703 [5681 voxels],0.453572 [5398 voxels],0.457204 [2257 voxels],0.414583 [2224 voxels],0.433722 [3910 voxels],0.461177 [3444 voxels],0.534926 [2406 voxels],0.510109 [2152 voxels],,,0.535275 [4171 voxels],0.385137 [4452 voxels],0.373734 [7753 voxels],0.385348 [7686 voxels],0.55202 [3274 voxels]
070,070,070,070,070,070,070,070,070,,,070,070,070,070,070
0.487718 [3865 voxels],0.406865 [5681 voxels],0.434844 [5398 voxels],0.501003 [2257 voxels],0.439761 [2224 voxels],0.440098 [3910 voxels],0.402686 [3444 voxels],0.645948 [2406 voxels],0.610216 [2152 voxels],,,0.31764 [4171 voxels],0.311176 [4452 voxels],0.359809 [7753 voxels],0.367129 [7686 voxels],0.587649 [3274 voxels]
071,071,071,071,071,071,071,071,071,,,071,071,071,071,071
0.471761 [3865 voxels],0.420836 [5681 voxels],0.38097 [5398 voxels],0.404665 [2257 voxels],0.338913 [2224 voxels],0.412187 [3910 voxels],0.393105 [3444 voxels],0.523089 [2406 voxels],0.47709 [2152 voxels],,,0.36603 [4171 voxels],0.345606 [4452 voxels],0.355148 [7753 voxels],0.346962 [7686 voxels],0.55709 [3274 voxels]
072,072,072,072,072,072,072,072,072,,,072,072,072,072,072
0.502919 [3865 voxels],0.364834 [5681 voxels],0.377066 [5398 voxels],0.455852 [2257 voxels],0.388371 [2224 voxels],0.407072 [3910 voxels],0.427644 [3444 voxels],0.545274 [2406 voxels],0.495817 [2152 voxels],,,0.383347 [4171 voxels],0.364296 [4452 voxels],0.423056 [7753 voxels],0.387301 [7686 voxels],0.528659 [3274 voxels]
073,073,073,073,073,073,073,073,073,,,073,073,073,073,073
0.571527 [3865 voxels],0.506249 [5681 voxels],0.435671 [5398 voxels],0.465266 [2257 voxels],0.420847 [2224 voxels],0.548656 [3910 voxels],0.460999 [3444 voxels],0.548944 [2406 voxels],0.566457 [2152 voxels],,,0.386571 [4171 voxels],0.384428 [4452 voxels],0.450422 [7753 voxels],0.482268 [7686 voxels],0.529729 [3274 voxels]
074,074,074,074,074,074,074,074,074,,,074,074,074,074,074
0.390849 [3865 voxels],0.379206 [5681 voxels],0.362868 [5398 voxels],0.411686 [2257 voxels],0.347805 [2224 voxels],0.466327 [3910 voxels],0.387247 [3444 voxels],0.509772 [2406 voxels],0.466851 [2152 voxels],,,0.449924 [4171 voxels],0.37996 [4452 voxels],0.374191 [7753 voxels],0.339008 [7686 voxels],0.517291 [3274 voxels]
075,075,075,075,075,075,075,075,075,,,075,075,075,075,075
0.520713 [3865 voxels],0.442096 [5681 voxels],0.471545 [5398 voxels],0.487275 [2257 voxels],0.476357 [2224 voxels],0.508104 [3910 voxels],0.474747 [3444 voxels],0.522114 [2406 voxels],0.567758 [2152 voxels],,,0.364938 [4171 voxels],0.34493 [4452 voxels],0.375158 [7753 voxels],0.40076 [7686 voxels],0.571732 [3274 voxels]
076,076,076,076,076,076,076,076,076,,,076,076,076,076,076
0.537008 [3865 voxels],0.491595 [5681 voxels],0.5009 [5398 voxels],0.565752 [2257 voxels],0.471135 [2224 voxels],0.607831 [3910 voxels],0.500016 [3444 voxels],0.58729 [2406 voxels],0.581665 [2152 voxels],,,0.461402 [4171 voxels],0.379245 [4452 voxels],0.432297 [7753 voxels],0.405688 [7686 voxels],0.633482 [3274 voxels]
078,078,078,078,078,078,078,078,078,,,078,078,078,078,078
0.436252 [3865 voxels],0.33121 [5681 voxels],0.358758 [5398 voxels],0.399842 [2257 voxels],0.329497 [2224 voxels],0.392031 [3910 voxels],0.394557 [3444 voxels],0.449425 [2406 voxels],0.463918 [2152 voxels],,,0.38299 [4171 voxels],0.35096 [4452 voxels],0.338932 [7753 voxels],0.356922 [7686 voxels],0.496675 [3274 voxels]
079,079,079,079,079,079,079,079,079,,,079,079,079,079,079
