10 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,11 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,12 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,13 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,14 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,15 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,16 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,17 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,18 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,1 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,2 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,5 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,6 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,7 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,8 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz,9 ICVF /mnt/chrastil/users/cossio/MLINDIV_young/Noddi_2025/atlas/ModelROIs_May2016_wEllipseRule_MNI152.nii.gz
0.446152 [3865 voxels],0.449486 [5681 voxels],0.441253 [5398 voxels],0.459711 [2257 voxels],0.368869 [2224 voxels],0.451284 [3910 voxels],0.436281 [3444 voxels],0.510855 [2406 voxels],0.481211 [2152 voxels],,,0.379404 [4171 voxels],0.376113 [4452 voxels],0.37375 [7753 voxels],0.423945 [7686 voxels],0.46251 [3274 voxels]
109,109,109,109,109,109,109,109,109,,,109,109,109,109,109
0.455373 [3865 voxels],0.37432 [5681 voxels],0.335643 [5398 voxels],0.447207 [2257 voxels],0.35344 [2224 voxels],0.445352 [3910 voxels],0.378021 [3444 voxels],0.502454 [2406 voxels],0.437677 [2152 voxels],,,0.364203 [4171 voxels],0.399101 [4452 voxels],0.354242 [7753 voxels],0.406095 [7686 voxels],0.488283 [3274 voxels]
110,110,110,110,110,110,110,110,110,,,110,110,110,110,110
0.553965 [3865 voxels],0.454384 [5681 voxels],0.47582 [5398 voxels],0.466051 [2257 voxels],0.401133 [2224 voxels],0.488543 [3910 voxels],0.467497 [3444 voxels],0.526077 [2406 voxels],0.545151 [2152 voxels],,,0.384131 [4171 voxels],0.368893 [4452 voxels],0.428884 [7753 voxels],0.44134 [7686 voxels],0.554728 [3274 voxels]
111,111,111,111,111,111,111,111,111,,,111,111,111,111,111
0.593264 [3865 voxels],0.47102 [5681 voxels],0.471848 [5398 voxels],0.502285 [2257 voxels],0.422815 [2224 voxels],0.47771 [3910 voxels],0.461223 [3444 voxels],0.668435 [2406 voxels],0.63921 [2152 voxels],,,0.383508 [4171 voxels],0.413536 [4452 voxels],0.405205 [7753 voxels],0.440423 [7686 voxels],0.612202 [3274 voxels]
112,112,112,112,112,112,112,112,112,,,112,112,112,112,112
0.559789 [3865 voxels],0.455569 [5681 voxels],0.524335 [5398 voxels],0.552887 [2257 voxels],0.472176 [2224 voxels],0.524688 [3910 voxels],0.495517 [3444 voxels],0.568592 [2406 voxels],0.555444 [2152 voxels],,,0.343773 [4171 voxels],0.371132 [4452 voxels],0.49144 [7753 voxels],0.467044 [7686 voxels],0.644672 [3274 voxels]
113,113,113,113,113,113,113,113,113,,,113,113,113,113,113
0.498529 [3865 voxels],0.432065 [5681 voxels],0.403528 [5398 voxels],0.532047 [2257 voxels],0.449545 [2224 voxels],0.529341 [3910 voxels],0.475495 [3444 voxels],0.613447 [2406 voxels],0.563422 [2152 voxels],,,0.347463 [4171 voxels],0.329734 [4452 voxels],0.445067 [7753 voxels],0.394931 [7686 voxels],0.561199 [3274 voxels]
